Panel	Marker	Allele	Size	Short.Name
SGM_Plus_v2	D3S1358	11	110	testkit
SGM_Plus_v2	D3S1358	12	114	testkit
SGM_Plus_v2	D3S1358	13	118	testkit
SGM_Plus_v2	D3S1358	14	122	testkit
SGM_Plus_v2	D3S1358	15	126	testkit
SGM_Plus_v2	D3S1358	15.2	128	testkit
SGM_Plus_v2	D3S1358	16	130	testkit
SGM_Plus_v2	D3S1358	16.2	132	testkit
SGM_Plus_v2	D3S1358	17	134	testkit
SGM_Plus_v2	D3S1358	17.2	136	testkit
SGM_Plus_v2	D3S1358	18	138	testkit
SGM_Plus_v2	D3S1358	18.2	140	testkit
SGM_Plus_v2	D3S1358	19	142	testkit
SGM_Plus_v2	D3S1358	20	146	testkit
SGM_Plus_v2	vWA	10	153	testkit
SGM_Plus_v2	vWA	11	157	testkit
SGM_Plus_v2	vWA	12	161	testkit
SGM_Plus_v2	vWA	13	165	testkit
SGM_Plus_v2	vWA	14	169	testkit
SGM_Plus_v2	vWA	15	173	testkit
SGM_Plus_v2	vWA	15.2	175	testkit
SGM_Plus_v2	vWA	16	177	testkit
SGM_Plus_v2	vWA	17	181	testkit
SGM_Plus_v2	vWA	18	185	testkit
SGM_Plus_v2	vWA	18.2	187	testkit
SGM_Plus_v2	vWA	19	189	testkit
SGM_Plus_v2	vWA	20	193	testkit
SGM_Plus_v2	vWA	21	197	testkit
SGM_Plus_v2	vWA	22	201	testkit
SGM_Plus_v2	vWA	23	205	testkit
SGM_Plus_v2	vWA	24	209	testkit
SGM_Plus_v2	vWA	25	213	testkit
SGM_Plus_v2	D16S539	5	234	testkit
SGM_Plus_v2	D16S539	6	238	testkit
SGM_Plus_v2	D16S539	7	242	testkit
SGM_Plus_v2	D16S539	8	246	testkit
SGM_Plus_v2	D16S539	9	250	testkit
SGM_Plus_v2	D16S539	10	254	testkit
SGM_Plus_v2	D16S539	11	258	testkit
SGM_Plus_v2	D16S539	12	262	testkit
SGM_Plus_v2	D16S539	12.2	264	testkit
SGM_Plus_v2	D16S539	13	266	testkit
SGM_Plus_v2	D16S539	14	270	testkit
SGM_Plus_v2	D16S539	15	274	testkit
SGM_Plus_v2	D16S539	16	278	testkit
SGM_Plus_v2	D2S1338	14	285	testkit
SGM_Plus_v2	D2S1338	15	289	testkit
SGM_Plus_v2	D2S1338	16	293	testkit
SGM_Plus_v2	D2S1338	17	297	testkit
SGM_Plus_v2	D2S1338	18	301	testkit
SGM_Plus_v2	D2S1338	19	305	testkit
SGM_Plus_v2	D2S1338	20	309	testkit
SGM_Plus_v2	D2S1338	21	313	testkit
SGM_Plus_v2	D2S1338	22	317	testkit
SGM_Plus_v2	D2S1338	23	321	testkit
SGM_Plus_v2	D2S1338	24	325	testkit
SGM_Plus_v2	D2S1338	25	329	testkit
SGM_Plus_v2	D2S1338	26	333	testkit
SGM_Plus_v2	D2S1338	27	337	testkit
SGM_Plus_v2	D2S1338	28	341	testkit
SGM_Plus_v2	D2S1338	29	345	testkit
SGM_Plus_v2	D19S433	9	106	testkit
SGM_Plus_v2	D19S433	9.2	108	testkit
SGM_Plus_v2	D19S433	10	110	testkit
SGM_Plus_v2	D19S433	10.2	112	testkit
SGM_Plus_v2	D19S433	11	114	testkit
SGM_Plus_v2	D19S433	11.2	116	testkit
SGM_Plus_v2	D19S433	12	118	testkit
SGM_Plus_v2	D19S433	12.2	120	testkit
SGM_Plus_v2	D19S433	13	122	testkit
SGM_Plus_v2	D19S433	13.2	124	testkit
SGM_Plus_v2	D19S433	14	126	testkit
SGM_Plus_v2	D19S433	14.2	128	testkit
SGM_Plus_v2	D19S433	15	130	testkit
SGM_Plus_v2	D19S433	15.2	132	testkit
SGM_Plus_v2	D19S433	16	134	testkit
