"SampleName";"Locus";"Coverage"
"S10";"CSF1PO";426
"S10";"D10S1248";509
"S10";"D12S391";750
"S10";"D13S317";727
"S10";"D16S539";1008
"S10";"D17S1301";658
"S10";"D18S51";908
"S10";"D19S433";919
"S10";"D1S1656";277
"S10";"D20S482";2890
"S10";"D21S11";982
"S10";"D22S1045";646
"S10";"D2S1338";923
"S10";"D2S441";1591
"S10";"D3S1358";1884
"S10";"D4S2408";1135
"S10";"D5S818";412
"S10";"D6S1043";1808
"S10";"D7S820";718
"S10";"D8S1179";1620
"S10";"D9S1122";2068
"S10";"FGA";1089
"S10";"PENTA D";543
"S10";"PENTA E";262
"S10";"TH01";3709
"S10";"TPOX";848
"S10";"VWA";369
"S100";"CSF1PO";206
"S100";"D10S1248";800
"S100";"D12S391";768
"S100";"D13S317";953
"S100";"D16S539";1153
"S100";"D17S1301";762
"S100";"D18S51";995
"S100";"D19S433";1316
"S100";"D1S1656";281
"S100";"D20S482";2963
"S100";"D21S11";667
"S100";"D22S1045";1786
"S100";"D2S1338";736
"S100";"D2S441";1200
"S100";"D3S1358";2205
"S100";"D4S2408";736
"S100";"D5S818";396
"S100";"D6S1043";2683
"S100";"D7S820";673
"S100";"D8S1179";903
"S100";"D9S1122";981
"S100";"FGA";1959
"S100";"PENTA D";531
"S100";"PENTA E";365
"S100";"TH01";2447
"S100";"TPOX";387
"S100";"VWA";463
"S101";"CSF1PO";265
"S101";"D10S1248";937
"S101";"D12S391";1000
"S101";"D13S317";928
"S101";"D16S539";1098
"S101";"D17S1301";849
"S101";"D18S51";716
"S101";"D19S433";1053
"S101";"D1S1656";407
"S101";"D20S482";3162
"S101";"D21S11";727
"S101";"D22S1045";962
"S101";"D2S1338";862
"S101";"D2S441";1493
"S101";"D3S1358";2376
"S101";"D4S2408";660
"S101";"D5S818";360
"S101";"D6S1043";2111
"S101";"D7S820";613
"S101";"D8S1179";1250
"S101";"D9S1122";1113
"S101";"FGA";1777
"S101";"PENTA D";451
"S101";"PENTA E";170
"S101";"TH01";3310
"S101";"TPOX";432
"S101";"VWA";461
"S102";"CSF1PO";202
"S102";"D10S1248";778
"S102";"D12S391";807
"S102";"D13S317";884
"S102";"D16S539";1148
"S102";"D17S1301";750
"S102";"D18S51";815
"S102";"D19S433";1036
"S102";"D1S1656";310
"S102";"D20S482";2450
"S102";"D21S11";667
"S102";"D22S1045";1356
"S102";"D2S1338";765
"S102";"D2S441";1250
"S102";"D3S1358";1945
"S102";"D4S2408";893
"S102";"D5S818";450
"S102";"D6S1043";2379
"S102";"D7S820";648
"S102";"D8S1179";1045
"S102";"D9S1122";1196
"S102";"FGA";1616
"S102";"PENTA D";635
"S102";"PENTA E";310
"S102";"TH01";3224
"S102";"TPOX";313
"S102";"VWA";381
"S103";"CSF1PO";301
"S103";"D10S1248";1257
"S103";"D12S391";888
"S103";"D13S317";1168
"S103";"D16S539";1072
"S103";"D17S1301";1083
"S103";"D18S51";1067
"S103";"D19S433";1272
"S103";"D1S1656";493
"S103";"D20S482";3668
"S103";"D21S11";826
"S103";"D22S1045";1299
"S103";"D2S1338";1224
"S103";"D2S441";1858
"S103";"D3S1358";2600
"S103";"D4S2408";1126
"S103";"D5S818";594
"S103";"D6S1043";3203
"S103";"D7S820";775
"S103";"D8S1179";1429
"S103";"D9S1122";1243
"S103";"FGA";1630
"S103";"PENTA D";596
"S103";"PENTA E";217
"S103";"TH01";4221
"S103";"TPOX";721
"S103";"VWA";511
"S104";"CSF1PO";340
"S104";"D10S1248";999
"S104";"D12S391";1103
"S104";"D13S317";1078
"S104";"D16S539";1291
"S104";"D17S1301";1187
"S104";"D18S51";1155
"S104";"D19S433";984
"S104";"D1S1656";571
"S104";"D20S482";3343
"S104";"D21S11";958
"S104";"D22S1045";1262
"S104";"D2S1338";1221
"S104";"D2S441";1559
"S104";"D3S1358";2139
"S104";"D4S2408";1523
"S104";"D5S818";595
"S104";"D6S1043";3606
"S104";"D7S820";906
"S104";"D8S1179";1737
"S104";"D9S1122";1860
"S104";"FGA";1769
"S104";"PENTA D";704
"S104";"PENTA E";441
"S104";"TH01";4072
"S104";"TPOX";807
"S104";"VWA";597
"S105";"CSF1PO";263
"S105";"D10S1248";1023
"S105";"D12S391";810
"S105";"D13S317";782
"S105";"D16S539";847
"S105";"D17S1301";786
"S105";"D18S51";746
"S105";"D19S433";1186
"S105";"D1S1656";202
"S105";"D20S482";3107
"S105";"D21S11";657
"S105";"D22S1045";1372
"S105";"D2S1338";1086
"S105";"D2S441";1122
"S105";"D3S1358";1869
"S105";"D4S2408";1415
"S105";"D5S818";605
"S105";"D6S1043";2770
"S105";"D7S820";642
